!Extended 6/17/05 from 1994 to 2003 by C.Quan-DWR.
delta_index
wateryear	Dlt_Idx	
	1921	19008
	1922	16437
	1923	11499
	1924	4513
	1925	15635
	1926	11646
	1927	20900
	1928	15757
	1929	7144
	1930	10957
	1931	5195
	1932	12553
	1933	7500
	1934	7662
	1935	16473
	1936	18564
	1937	14874
	1938	27960
	1939	7242
	1940	24169
	1941	24439
	1942	20907
	1943	20631
	1944	9378
	1945	14011
	1946	13375
	1947	8966
	1948	13020
	1949	11423
	1950	14283
	1951	15530
	1952	25046
	1953	15605
	1954	16525
	1955	8590
	1956	23055
	1957	13068
	1958	27482
	1959	10823
	1960	12159
	1961	9108
	1962	14280
	1963	19054
	1964	8061
	1965	18378
	1966	11785
	1967	20029
	1968	12079
	1969	28783
	1970	21410
	1971	16186
	1972	11588
	1973	18848
	1974	24961
	1975	16882
	1976	5654
	1977	3092
	1978	23841
	1979	13620
	1980	23212
	1981	10241
	1982	27540
	1983	33109
	1984	14326
	1985	8568
	1986	28004
	1987	8037
	1988	7158
	1989	13771
	1990	7564
	1991	7806
	1992	8480
	1993	22370
	1994	6833
	1995	34200
	1996	22444
	1997	22998
	1998	27800
	1999	18388
	2000	19281
	2001	9277
	2002	12163
	2003	15672
