!Extension to 2003 C.Quan-DWR
feather_runoff_forecast	
wateryear	month	frcst_fea
1922	4	1599
1922	5	1453
1922	6	2467
1922	7	3018
1922	8	1947
1923	4	2071
1923	5	2266
1923	6	1905
1923	7	1543
1923	8	1286
1924	4	821
1924	5	712
1924	6	607
1924	7	514
1924	8	346
1925	4	1039
1925	5	864
1925	6	917
1925	7	822
1925	8	479
1926	4	914
1926	5	1106
1926	6	1063
1926	7	618
1926	8	495
1927	4	1469
1927	5	1548
1927	6	1986
1927	7	1903
1927	8	1429
1928	4	1605
1928	5	1533
1928	6	1080
1928	7	1142
1928	8	605
1929	4	1121
1929	5	1002
1929	6	844
1929	7	719
1929	8	600
1930	4	912
1930	5	1173
1930	6	971
1930	7	737
1930	8	440
1931	4	965
1931	5	944
1931	6	761
1931	7	723
1931	8	540
1932	4	1655
1932	5	1796
1932	6	1458
1932	7	1080
1932	8	788
1933	4	954
1933	5	1129
1933	6	890
1933	7	983
1933	8	623
1934	4	1402
1934	5	1150
1934	6	1090
1934	7	909
1934	8	674
1935	4	1215
1935	5	1686
1935	6	1579
1935	7	1961
1935	8	1778
1936	4	1135
1936	5	1371
1936	6	2016
1936	7	1623
1936	8	970
1937	4	999
1937	5	1121
1937	6	1521
1937	7	1729
1937	8	1228
1938	4	1711
1938	5	1846
1938	6	3394
1938	7	3955
1938	8	2621
1939	4	1285
1939	5	1251
1939	6	1072
1939	7	986
1939	8	525
1940	4	881
1940	5	1254
1940	6	1855
1940	7	1971
1940	8	883
1941	4	1995
1941	5	2374
1941	6	2367
1941	7	2112
1941	8	1818
1942	4	1931
1942	5	1989
1942	6	1830
1942	7	1720
1942	8	1619
1943	4	1483
1943	5	2009
1943	6	1420
1943	7	1251
1943	8	567
1944	4	1131
1944	5	1171
1944	6	1351
1944	7	1362
1944	8	1071
1945	4	1514
1945	5	1204
1945	6	1306
1945	7	1479
1945	8	863
1946	4	2275
1946	5	1719
1946	6	1572
1946	7	1630
1946	8	748
1947	4	1325
1947	5	1090
1947	6	905
1947	7	1225
1947	8	788
1948	4	1015
1948	5	989
1948	6	757
1948	7	1285
1948	8	1768
1949	4	1194
1949	5	1023
1949	6	1007
1949	7	1231
1949	8	468
1950	4	886
1950	5	1254
1950	6	1144
1950	7	1347
1950	8	837
1951	4	1754
1951	5	2045
1951	6	1675
1951	7	1461
1951	8	985
1952	4	2788
1952	5	4238
1952	6	4178
1952	7	4586
1952	8	2669
1953	4	1954
1953	5	2027
1953	6	1286
1953	7	1476
1953	8	1300
1954	4	1128
1954	5	1513
1954	6	1503
1954	7	1594
1954	8	1050
1955	4	1341
1955	5	1295
1955	6	1118
1955	7	944
1955	8	948
1956	4	1732
1956	5	2071
1956	6	2457
1956	7	1735
1956	8	917
1957	4	1284
1957	5	1331
1957	6	1230
1957	7	997
1957	8	734
1958	4	1260
1958	5	1448
1958	6	1635
1958	7	2209
1958	8	1610
1959	4	1210
1959	5	1296
1959	6	1525
1959	7	1220
1959	8	704
1960	4	791
1960	5	899
1960	6	846
1960	7	956
1960	8	522
1961	4	1290
1961	5	1230
1961	6	976
1961	7	1244
1961	8	942
1962	4	1061
1962	5	998
1962	6	1750
1962	7	2009
1962	8	1061
1963	4	1767
1963	5	1773
1963	6	1023
1963	7	1560
1963	8	1724
1964	4	1422
1964	5	1644
1964	6	1167
1964	7	1164
1964	8	696
1965	4	1603
1965	5	1753
1965	6	972
1965	7	807
1965	8	402
1966	4	1833
1966	5	1819
1966	6	1559
1966	7	1309
1966	8	706
1967	4	1616
1967	5	2644
1967	6	1698
1967	7	2234
1967	8	2335
1968	4	1408
1968	5	1798
1968	6	1249
1968	7	1147
1968	8	507
1969	4	1791
1969	5	2780
1969	6	3220
1969	7	2751
1969	8	1805
1970	4	1722
1970	5	2131
1970	6	1513
1970	7	1379
1970	8	1006
1971	4	2650
1971	5	2531
1971	6	1758
1971	7	2096
1971	8	1330
1972	4	1403
1972	5	1214
1972	6	1001
1972	7	514
1972	8	346
1973	4	1162
1973	5	1538
1973	6	1716
1973	7	1448
1973	8	586
1974	4	2186
1974	5	1962
1974	6	1604
1974	7	2430
1974	8	1499
1975	4	1367
1975	5	1194
1975	6	1543
1975	7	1822
1975	8	1555
1976	4	1064
1976	5	819
1976	6	778
1976	7	608
1976	8	388
1977	4	791
1977	5	701
1977	6	607
1977	7	514
1977	8	346
1978	4	1080
1978	5	1954
1978	6	1909
1978	7	1926
1978	8	1911
1979	4	1082
1979	5	1040
1979	6	1318
1979	7	1251
1979	8	895
1980	4	1579
1980	5	1252
1980	6	1378
1980	7	1117
1980	8	689
1981	4	1188
1981	5	1404
1981	6	1051
1981	7	1147
1981	8	741
1982	4	2402
1982	5	2332
1982	6	1673
1982	7	2262
1982	8	1695
1983	4	2292
1983	5	2669
1983	6	3334
1983	7	3696
1983	8	3162
1984	4	2685
1984	5	1777
1984	6	1625
1984	7	1488
1984	8	1086
1985	4	1682
1985	5	1373
1985	6	1244
1985	7	1518
1985	8	798
1986	4	1102
1986	5	1176
1986	6	1457
1986	7	1023
1986	8	419
1987	4	1087
1987	5	1009
1987	6	797
1987	7	774
1987	8	383
1988	4	1073
1988	5	1187
1988	6	718
1988	7	514
1988	8	456
1989	4	1313
1989	5	1199
1989	6	932
1989	7	1393
1989	8	744
1990	4	1071
1990	5	1156
1990	6	1085
1990	7	862
1990	8	513
1991	4	791
1991	5	701
1991	6	607
1991	7	971
1991	8	578
1992	4	991
1992	5	879
1992	6	961
1992	7	882
1992	8	554
1993	4	1622
1993	5	2630
1993	6	3048
1993	7	2421
1993	8	1736
1994	4	1386
1994	5	1246
1994	6	1376
1994	7	1124
1994	8	893
1995	4	1224
1995	5	2365
1995	6	1562
1995	7	2517
1995	8	2112
1996	4	1412
1996	5	1766
1996	6	1644
1996	7	1386
1996	8	1062
1997	4	2465
1997	5	1978
1997	6	988
1997	7	703
1997	8	346
1998	4	1614
1998	5	2190
1998	6	3070
1998	7	3036
1998	8	2550
1999	4	1485
