! New Baselines version (Feb 2010)
! 2030 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2011DRR_081011.xls        
swp_carryover       
contractor     percent   carryover
1    100  30.00
2    100  4.00
3    100  70.70
4    100  0.00
5    100  4.80
6    100  69.18
7    100  0.00
8    100  4.68
9    100  2.64
10   100  27.88
11   100  2.50
12   100  1.40
13   100  53.89
14   100  0.00
15   100  200.00
16   100  65.80
17   100  9.30
18   100  0.70
19   100  4.50
20   100  10.00
21   100  0.00
22   100  7.70
23   100  0.00
24   100  23.53
25   100  27.50
26   100  23.75
27   100  60.47
28   100  0.00
29   100  0.00
30   100  30.00
1    50   7.00
2    50   0.00
3    50   8.25
4    50   0.00
5    50   2.40
6    50   0.00
7    50   0.00
8    50   0.68
9    50   0.00
10   50   0.00
11   50   0.00
12   50   0.40
13   50   8.93
14   50   0.00
15   50   77.50
16   50   24.40
17   50   5.99
18   50   0.00
19   50   0.10
20   50   10.00
21   50   0.00
22   50   0.85
23   50   0.00
24   50   0.00
25   50   11.40
26   50   14.36
27   50   16.01
28   50   0.00
29   50   0.00
30   50   10.00
1    30   2.00
2    30   0.00
3    30   0.00
4    30   0.00
5    30   0.00
6    30   0.00
7    30   0.00
8    30   0.03
9    30   0.00
10   30   0.00
11   30   0.00
12   30   0.00
13   30   3.72
14   30   0.00
15   30   36.05
16   30   7.80
17   30   3.13
18   30   0.00
19   30   0.10
20   30   5.00
21   30   0.00
22   30   0.50
23   30   0.00
24   30   0.00
25   30   10.00
26   30   5.98
27   30   0.00
28   30   0.00
29   30   0.00
30   30   0.00
