wsi_di_SWP
wsi     di
0.0 0.0
500.0 1851.638427734375
1000.0 1851.638427734375
1500.0 1851.638427734375
2000.0 1851.638427734375
2500.0 1851.638427734375
3000.0 1905.1198507585125
3500.0 2624.3792986602775
4000.0 3203.5394678066486
4500.0 4162.737577311937
5000.0 5235.944399447875
5500.0 6096.591451264019
6000.0 7368.2003978119665
6500.0 7969.80358450716
7000.0 8240.642422083649
7500.0 8397.846516998377
8000.0 8397.846516998377
8500.0 8397.846516998377
9000.0 8397.846516998377
9500.0 8397.846516998377
10000.0 8397.846516998377
10500.0 8397.846516998377
11000.0 8397.846516998377
11500.0 8397.846516998377
12000.0 8397.846516998377
12500.0 8397.846516998377
13000.0 8397.846516998377
13500.0 8397.846516998377
14000.0 8397.846516998377
14500.0 8397.846516998377
15000.0 8397.846516998377
15500.0 8397.846516998377
16000.0 8397.846516998377
16500.0 8397.846516998377
17000.0 8397.846516998377
17500.0 8397.846516998377
18000.0 8397.846516998377
18500.0 8397.846516998377
19000.0 8397.846516998377
19500.0 8397.846516998377
20000.0 8397.846516998377
