! New Baselines version (Feb 2010)
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_022510.xls
swp_3pattern_SLRule
month            percent          demand           b4lowpoint
                8               30            461.7           2433.6
                9               30            665.7           1971.9
               10               30            713.1           1306.1
               11               30            593.0            593.0
               12               30            368.2            368.2
                8               50            421.7           2258.9
                9               50            583.8           1837.2
               10               50            659.7           1253.4
               11               50            593.8            593.8
               12               50            383.3            383.3
                8              100            337.5           1673.2
                9              100            439.9           1335.7
               10              100            444.1            895.9
               11              100            451.8            451.8
               12              100            319.8            319.8
