! New Baselines version (Feb 2010)
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_022510.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                1                4              100             0.06            19.23
                1                5              100             0.08            19.17
                1                6              100             0.41            19.09
                1                7              100             1.19            18.68
                1                8              100             1.78            17.49
                1                9              100             2.44            15.72
                1               10              100             2.25            13.28
                1               11              100             2.04            11.04
                1               12              100             2.81             9.00
                1                1              100             2.46             6.18
                1                2              100             1.77             3.72
                1                3              100             1.95             1.95
                2                4              100             0.04            21.08
                2                5              100             0.19            21.05
                2                6              100             0.38            20.86
                2                7              100             0.60            20.48
                2                8              100             2.08            19.88
                2                9              100             3.22            17.80
                2               10              100             3.84            14.58
                2               11              100             3.40            10.74
                2               12              100             2.71             7.34
                2                1              100             2.27             4.63
                2                2              100             1.36             2.36
                2                3              100             1.00             1.00
                3                4              100             1.52            38.00
                3                5              100             1.74            36.48
                3                6              100             2.00            34.75
                3                7              100             2.21            32.75
                3                8              100             3.10            30.54
                3                9              100             4.60            27.44
                3               10              100             4.62            22.84
                3               11              100             4.62            18.22
                3               12              100             4.53            13.60
                3                1              100             4.11             9.08
                3                2              100             2.22             4.97
                3                3              100             2.75             2.75
                4                4              100             1.23            70.70
                4                5              100             1.38            69.47
                4                6              100             2.25            68.09
                4                7              100             7.48            65.84
                4                8              100             8.86            58.36
                4                9              100             9.49            49.51
                4               10              100            10.78            40.02
                4               11              100            10.52            29.24
                4               12              100             6.44            18.72
                4                1              100             5.37            12.29
                4                2              100             3.67             6.92
                4                3              100             3.25             3.25
                5                4              100             0.96            12.70
                5                5              100             1.05            11.74
                5                6              100             1.17            10.69
                5                7              100             0.98             9.52
                5                8              100             0.98             8.53
                5                9              100             0.98             7.55
                5               10              100             1.08             6.56
                5               11              100             1.08             5.49
                5               12              100             1.04             4.41
                5                1              100             1.12             3.37
                5                2              100             1.12             2.25
                5                3              100             1.12             1.12
                6                4              100             1.55            41.25
                6                5              100             1.42            39.70
                6                6              100             1.90            38.28
                6                7              100             3.17            36.38
                6                8              100             4.09            33.21
                6                9              100             4.85            29.12
                6               10              100             5.59            24.26
                6               11              100             5.67            18.68
                6               12              100             4.20            13.01
                6                1              100             3.51             8.81
                6                2              100             2.88             5.29
                6                3              100             2.41             2.41
                7                4              100             0.04             4.80
                7                5              100             0.04             4.76
                7                6              100             0.04             4.71
                7                7              100             0.63             4.67
                7                8              100             0.67             4.04
                7                9              100             0.76             3.37
                7               10              100             1.06             2.61
                7               11              100             1.06             1.55
                7               12              100             0.29             0.50
                7                1              100             0.12             0.21
                7                2              100             0.04             0.09
                7                3              100             0.04             0.04
