CVPAnnual       
Node    Contr   Annual
700     1       20600
700     2       10000
700     3       25000
700     4       7500
701     1       5400
701     2       12060
701     3       34105
701     4       7700
701     5       9130
701     6       16625
701     7       50000
701     8       14680
701     9       15860
701     10      6000
701     11      16500
701     12      10840
701     13      8620
701     14      5190
701     15      2500
707     1       140000
706     1       6580
706     2       65000
706     3       27000
706     4       800
706     5       4550
706     6       13300
706     7       4600
706     8       2990
708     1       182698
6071    1       50000
6071    2       4000
6071    3       35300
6071    4       2080
6071    5       13800
6071    6       70
6071    7       228
6072    1       700000
6072    2       34813
6073    1       94410
