StanSpills                          
yrtype  month   sp545b_ag   sp534b_ag   sp532_ag    sp528a_ag   sp528b_ag   sp526_ag 
1       1       1.05        0.75        0.90        0.30        0.90        2.10
1       2       0.70        0.50        0.60        0.20        0.60        1.40
1       3       0.70        0.50        0.60        0.20        0.60        1.40
1       4       0.70        0.50        0.60        0.20        0.60        1.40
1       5       0.70        0.50        0.60        0.20        0.60        1.40
1       6       1.05        0.75        0.90        0.30        0.90        2.10
1       7       1.05        0.75        0.90        0.30        0.90        2.10
1       8       1.40        1.00        1.20        0.40        1.20        2.80
1       9       1.23        0.88        1.05        0.35        1.05        2.45
1       10      1.23        0.88        1.05        0.35        1.05        2.45
1       11      1.58        1.13        1.35        0.45        1.35        3.15
1       12      1.40        1.00        1.20        0.40        1.20        2.80
2       1       1.05        0.75        0.90        0.30        0.90        2.10
2       2       0.70        0.50        0.60        0.20        0.60        1.40
2       3       0.70        0.50        0.60        0.20        0.60        1.40
2       4       0.70        0.50        0.60        0.20        0.60        1.40
2       5       0.70        0.50        0.60        0.20        0.60        1.40
2       6       1.05        0.75        0.90        0.30        0.90        2.10
2       7       1.05        0.75        0.90        0.30        0.90        2.10
2       8       1.40        1.00        1.20        0.40        1.20        2.80
2       9       1.23        0.88        1.05        0.35        1.05        2.45
2       10      1.23        0.88        1.05        0.35        1.05        2.45
2       11      1.58        1.13        1.35        0.45        1.35        3.15
2       12      1.40        1.00        1.20        0.40        1.20        2.80
3       1       1.05        0.75        0.90        0.30        0.90        2.10
3       2       0.70        0.50        0.60        0.20        0.60        1.40
3       3       0.70        0.50        0.60        0.20        0.60        1.40
3       4       0.70        0.50        0.60        0.20        0.60        1.40
3       5       0.70        0.50        0.60        0.20        0.60        1.40
3       6       1.05        0.75        0.90        0.30        0.90        2.10
3       7       1.05        0.75        0.90        0.30        0.90        2.10
3       8       1.40        1.00        1.20        0.40        1.20        2.80
3       9       1.23        0.88        1.05        0.35        1.05        2.45
3       10      1.23        0.88        1.05        0.35        1.05        2.45
3       11      1.58        1.13        1.35        0.45        1.35        3.15
3       12      1.40        1.00        1.20        0.40        1.20        2.80
4       1       1.05        0.75        0.90        0.30        0.90        2.10
4       2       0.70        0.50        0.60        0.20        0.60        1.40
4       3       0.70        0.50        0.60        0.20        0.60        1.40
4       4       0.70        0.50        0.60        0.20        0.60        1.40
4       5       0.70        0.50        0.60        0.20        0.60        1.40
4       6       1.05        0.75        0.90        0.30        0.90        2.10
4       7       1.05        0.75        0.90        0.30        0.90        2.10
4       8       1.40        1.00        1.20        0.40        1.20        2.80
4       9       1.23        0.88        1.05        0.35        1.05        2.45
4       10      1.23        0.88        1.05        0.35        1.05        2.45
4       11      1.58        1.13        1.35        0.45        1.35        3.15
4       12      1.40        1.00        1.20        0.40        1.20        2.80
5       1       0.74        0.84        0.42        0.11        0.90        2.10
5       2       0.49        0.56        0.28        0.07        0.60        1.40
5       3       0.49        0.56        0.28        0.07        0.60        1.40
5       4       0.49        0.56        0.28        0.07        0.60        1.40
5       5       0.49        0.56        0.28        0.07        0.60        1.40
5       6       0.74        0.84        0.42        0.11        0.90        2.10
5       7       0.74        0.84        0.42        0.11        0.90        2.10
5       8       0.98        1.12        0.56        0.14        1.20        2.80
5       9       0.88        1.00        0.50        0.13        1.05        2.45
5       10      0.88        1.00        0.50        0.13        1.05        2.45
5       11      1.12        1.28        0.64        0.16        1.35        3.15
5       12      0.98        1.12        0.56        0.14        1.20        2.80
