! New Baselines version (Feb 2010)
! 2030 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2030_022510.xls
swp_carryover
contractor       percent          carryover
                1              100             2.22
                2              100             0.00
                3              100             0.00
                4              100             0.00
                5              100             0.00
                6              100             9.90
                7              100             0.00
                8              100             0.00
                9              100             0.00
               10              100            11.90
               11              100             0.00
               12              100             0.00
               13              100             0.00
               14              100             0.00
               15              100           200.00
               16              100            37.90
               17              100             0.00
               18              100             0.00
               19              100             0.00
               20              100            11.40
               21              100             0.00
               22              100             0.00
               23              100             0.00
               24              100             0.00
               25              100             0.00
               26              100             0.00
               27              100             0.00
               28              100             0.00
               29              100             0.00
               30              100             0.00
                1               50             2.22
                2               50             0.00
                3               50             0.00
                4               50             0.00
                5               50             0.00
                6               50             0.00
                7               50             0.00
                8               50             0.00
                9               50             0.00
               10               50             0.00
               11               50             0.00
               12               50             0.00
               13               50             0.00
               14               50             0.00
               15               50             0.00
               16               50             2.58
               17               50             0.00
               18               50             0.00
               19               50             0.00
               20               50             0.00
               21               50             0.00
               22               50             0.00
               23               50             0.00
               24               50             0.00
               25               50             0.00
               26               50             0.00
               27               50             0.00
               28               50             0.00
               29               50             0.00
               30               50             0.00
                1               30             0.00
                2               30             0.00
                3               30             0.00
                4               30             0.00
                5               30             0.00
                6               30             0.00
                7               30             0.00
                8               30             0.00
                9               30             0.00
               10               30             0.00
               11               30             0.00
               12               30             0.00
               13               30             0.00
               14               30             0.00
               15               30             0.00
               16               30             0.00
               17               30             0.00
               18               30             0.00
               19               30             0.00
               20               30             0.00
               21               30             0.00
               22               30             0.00
               23               30             0.00
               24               30             0.00
               25               30             0.00
               26               30             0.00
               27               30             0.00
               28               30             0.00
               29               30             0.00
               30               30             0.00
