CVP_RF_Split                
Node    Contr   Month   RF1_Pct RF2_Pct
700 1   1   1.00    0.00
700 1   2   1.00    0.00
700 1   3   1.00    0.00
700 1   4   1.00    0.00
700 1   5   1.00    0.00
700 1   6   1.00    0.00
700 1   7   1.00    0.00
700 1   8   1.00    0.00
700 1   9   1.00    0.00
700 1   10  1.00    0.00
700 1   11  1.00    0.00
700 1   12  1.00    0.00
700 2   1   1.00    0.00
700 2   2   1.00    0.00
700 2   3   1.00    0.00
700 2   4   1.00    0.00
700 2   5   1.00    0.00
700 2   6   1.00    0.00
700 2   7   1.00    0.00
700 2   8   1.00    0.00
700 2   9   1.00    0.00
700 2   10  1.00    0.00
700 2   11  1.00    0.00
700 2   12  1.00    0.00
700 3   1   1.00    0.00
700 3   2   1.00    0.00
700 3   3   1.00    0.00
700 3   4   1.00    0.00
700 3   5   1.00    0.00
700 3   6   1.00    0.00
700 3   7   1.00    0.00
700 3   8   1.00    0.00
700 3   9   1.00    0.00
700 3   10  1.00    0.00
700 3   11  1.00    0.00
700 3   12  1.00    0.00
700 4   1   1.00    0.00
700 4   2   1.00    0.00
700 4   3   1.00    0.00
700 4   4   1.00    0.00
700 4   5   1.00    0.00
700 4   6   1.00    0.00
700 4   7   1.00    0.00
700 4   8   1.00    0.00
700 4   9   1.00    0.00
700 4   10  1.00    0.00
700 4   11  1.00    0.00
700 4   12  1.00    0.00
701 1   1   1.00    0.00
701 1   2   1.00    0.00
701 1   3   1.00    0.00
701 1   4   1.00    0.00
701 1   5   1.00    0.00
701 1   6   1.00    0.00
701 1   7   1.00    0.00
701 1   8   1.00    0.00
701 1   9   1.00    0.00
701 1   10  1.00    0.00
701 1   11  1.00    0.00
701 1   12  1.00    0.00
701 2   1   1.00    0.00
701 2   2   1.00    0.00
701 2   3   1.00    0.00
701 2   4   1.00    0.00
701 2   5   1.00    0.00
701 2   6   1.00    0.00
701 2   7   1.00    0.00
701 2   8   1.00    0.00
701 2   9   1.00    0.00
701 2   10  1.00    0.00
701 2   11  1.00    0.00
701 2   12  1.00    0.00
701 3   1   1.00    0.00
701 3   2   1.00    0.00
701 3   3   1.00    0.00
701 3   4   1.00    0.00
701 3   5   1.00    0.00
701 3   6   1.00    0.00
701 3   7   1.00    0.00
701 3   8   1.00    0.00
701 3   9   1.00    0.00
701 3   10  1.00    0.00
701 3   11  1.00    0.00
701 3   12  1.00    0.00
701 4   1   1.00    0.00
701 4   2   1.00    0.00
701 4   3   1.00    0.00
701 4   4   1.00    0.00
701 4   5   1.00    0.00
701 4   6   1.00    0.00
701 4   7   1.00    0.00
701 4   8   1.00    0.00
701 4   9   1.00    0.00
701 4   10  1.00    0.00
701 4   11  1.00    0.00
701 4   12  1.00    0.00
701 5   1   1.00    0.00
701 5   2   1.00    0.00
701 5   3   1.00    0.00
701 5   4   1.00    0.00
701 5   5   1.00    0.00
701 5   6   1.00    0.00
701 5   7   1.00    0.00
701 5   8   1.00    0.00
701 5   9   1.00    0.00
701 5   10  1.00    0.00
701 5   11  1.00    0.00
701 5   12  1.00    0.00
701 6   1   1.00    0.00
701 6   2   1.00    0.00
701 6   3   1.00    0.00
701 6   4   1.00    0.00
701 6   5   1.00    0.00
701 6   6   1.00    0.00
701 6   7   1.00    0.00
701 6   8   1.00    0.00
701 6   9   1.00    0.00
701 6   10  1.00    0.00
701 6   11  1.00    0.00
701 6   12  1.00    0.00
701 7   1   1.00    0.00
701 7   2   1.00    0.00
701 7   3   1.00    0.00
701 7   4   1.00    0.00
701 7   5   1.00    0.00
701 7   6   1.00    0.00
701 7   7   1.00    0.00
701 7   8   1.00    0.00
701 7   9   1.00    0.00
701 7   10  1.00    0.00
701 7   11  1.00    0.00
701 7   12  1.00    0.00
701 8   1   1.00    0.00
701 8   2   1.00    0.00
701 8   3   1.00    0.00
701 8   4   1.00    0.00
701 8   5   1.00    0.00
701 8   6   1.00    0.00
701 8   7   1.00    0.00
701 8   8   1.00    0.00
701 8   9   1.00    0.00
701 8   10  1.00    0.00
701 8   11  1.00    0.00
701 8   12  1.00    0.00
701 9   1   1.00    0.00
701 9   2   1.00    0.00
701 9   3   1.00    0.00
701 9   4   1.00    0.00
701 9   5   1.00    0.00
701 9   6   1.00    0.00
701 9   7   1.00    0.00
701 9   8   1.00    0.00
701 9   9   1.00    0.00
701 9   10  1.00    0.00
701 9   11  1.00    0.00
701 9   12  1.00    0.00
701 10  1   1.00    0.00
701 10  2   1.00    0.00
701 10  3   1.00    0.00
701 10  4   1.00    0.00
701 10  5   1.00    0.00
701 10  6   1.00    0.00
701 10  7   1.00    0.00
701 10  8   1.00    0.00
701 10  9   1.00    0.00
701 10  10  1.00    0.00
701 10  11  1.00    0.00
701 10  12  1.00    0.00
701 11  1   1.00    0.00
701 11  2   1.00    0.00
701 11  3   1.00    0.00
701 11  4   1.00    0.00
701 11  5   1.00    0.00
701 11  6   1.00    0.00
701 11  7   1.00    0.00
701 11  8   1.00    0.00
701 11  9   1.00    0.00
701 11  10  1.00    0.00
701 11  11  1.00    0.00
701 11  12  1.00    0.00
701 12  1   1.00    0.00
701 12  2   1.00    0.00
701 12  3   1.00    0.00
701 12  4   1.00    0.00
701 12  5   1.00    0.00
701 12  6   1.00    0.00
701 12  7   1.00    0.00
701 12  8   1.00    0.00
701 12  9   1.00    0.00
701 12  10  1.00    0.00
701 12  11  1.00    0.00
701 12  12  1.00    0.00
701 13  1   1.00    0.00
701 13  2   1.00    0.00
701 13  3   1.00    0.00
701 13  4   1.00    0.00
