FMP_Trigger
Month   Trigger FMPFlow
1       0       500
1       300     500
1       301     800
1       600     800
1       746     1750
1       796     1750
1       848     2000
1       9000    2000
2       0       500
2       300     500
2       301     800
2       600     800
2       746     1750
2       796     1750
2       848     2000
2       9000    2000
3       0       500
3       300     500
3       301     800
3       600     800
3       746     1750
3       796     1750
3       848     2000
3       9000    2000
4       0       250
4       250     800
4       514     800
4       714     1750
4       1000    2500
4       1770    99999
5       0       250
5       250     800
5       454     800
5       814     1750
5       1000    2500
5       1770    99999
6       0       250
6       100     250
6       101     800
6       200     800
6       400     1750
6       9000    1750
7       0       250
7       100     250
7       101     800
7       200     800
7       400     1750
7       9000    1750
8       0       250
8       100     250
8       101     800
8       200     800
8       400     1750
8       9000    1750
9       0       250
9       100     250
9       101     800
9       200     800
9       400     1750
9       9000    1750
10      0       250
10      100     250
10      101     800
10      200     800
10      400     1750
10      9000    1750
11      0       250
11      100     250
11      101     800
11      200     800
11      400     1750
11      9000    1750
12      0       250
12      100     250
12      101     800
12      200     800
12      400     1750
12      9000    1750
