! BST_WTS_Inputs_Future_081109.xls
!
! These are Stage 1 Targets
! SWP and CVP amounts are operated as an integral part of the SWP and CVP
!
! LYRA Component 1 is included in SWP according to the total available for each year
! Phase 8 transfers are allowed in all years but Wet years - this constraint is implemented in the input targets
!
! Acquisition rules are managed by the WTS logic.
WTS_Stage1_Targets
Year          SWP_LYRA      SWP_Phase8    CVP_Phase8
1921          0.00          0             0
1922          55.02         0             0
1923          55.02         0             0
1924          60.00         0             0
1925          77.46         0             0
1926          44.70         0             0
1927          55.02         0             0
1928          60.00         0             0
1929          27.31         0             0
1930          44.70         0             0
1931          19.65         0             0
1932          55.02         0             0
1933          51.51         0             0
1934          60.00         0             0
1935          55.02         0             0
1936          55.02         0             0
1937          55.02         0             0
1938          55.02         0             0
1939          27.31         0             0
1940          57.74         0             0
1941          55.02         0             0
1942          55.02         0             0
1943          55.01         0             0
1944          44.70         0             0
1945          53.69         0             0
1946          55.13         0             0
1947          60.00         0             0
1948          55.02         0             0
1949          79.55         0             0
1950          55.02         0             0
1951          51.24         0             0
1952          54.97         0             0
1953          55.02         0             0
1954          63.14         0             0
1955          36.63         0             0
1956          55.02         0             0
1957          55.02         0             0
1958          55.02         0             0
1959          51.51         0             0
1960          44.70         0             0
1961          71.20         0             0
1962          67.79         0             0
1963          55.02         0             0
1964          44.70         0             0
1965          55.02         0             0
1966          44.70         0             0
1967          63.93         0             0
1968          44.70         0             0
1969          55.02         0             0
1970          63.14         0             0
1971          55.02         0             0
1972          94.99         0             0
1973          55.14         0             0
1974          55.02         0             0
1975          55.02         0             0
1976          60.00         0             0
1977          7.08          0             0
1978          55.02         0             0
1979          55.02         0             0
1980          55.02         0             0
1981          51.51         0             0
1982          55.02         0             0
1983          55.08         0             0
1984          25.55         0             0
1985          44.70         0             0
1986          60.00         0             0
1987          60.00         0             0
1988          19.65         0             0
1989          66.28         0             0
1990          51.51         0             0
1991          47.54         0             0
1992          19.65         0             0
1993          55.02         0             0
1994          60.00         0             0
1995          54.97         0             0
1996          55.02         0             0
1997          63.14         0             0
1998          65.18         0             0
1999          55.02         0             0
2000          60.00         0             0
2001          60.00         0             0
2002          60.00         0             0
2003          55.02         0             0
