! units = TAF
minflow_EastSide
C_arc	wateryear	month	minflow
91	1		1	6.3
91	1		2	17.4
91	1		3	13.3
91	1		4	7.7
91	1		5	7.5
91	1		6	6.6
91	1		7	6.6
91	1		8	20
91	1		9	27.8
91	1		10	0
91	1		11	0
91	1		12	0.5
91	2		1	6.3
91	2		2	17.4
91	2		3	13.3
91	2		4	7.7
91	2		5	7.5
91	2		6	6.6
91	2		7	6.6
91	2		8	20
91	2		9	27.8
91	2		10	0
91	2		11	0
91	2		12	0.5
91	3		1	6.3
91	3		2	17.4
91	3		3	13.3
91	3		4	7.7
91	3		5	7.5
91	3		6	6.6
91	3		7	6.6
91	3		8	20
91	3		9	27.8
91	3		10	0
91	3		11	0
91	3		12	0.5
91	4		1	3.6
91	4		2	11.5
91	4		3	8.7
91	4		4	7.7
91	4		5	7.5
91	4		6	6.6
91	4		7	6.6
91	4		8	20
91	4		9	0.1
91	4		10	0
91	4		11	0
91	4		12	0.4
91	5		1	0.7
91	5		2	5.5
91	5		3	4.1
91	5		4	2.6
91	5		5	2.4
91	5		6	2.5
91	5		7	0.4
91	5		8	0
91	5		9	0.1
91	5		10	0
91	5		11	0
91	5		12	0.4
92	1		1	.1
92	1		2	.1
92	1		3	.1
92	1		4	.1
92	1		5	.1
92	1		6	.1
92	1		7	.1
92	1		8	.1
92	1		9	.1
92	1		10	.1
92	1		11	.1
92	1		12	.1
92	2		1	.1
92	2		2	.1
92	2		3	.1
92	2		4	.1
92	2		5	.1
92	2		6	.1
92	2		7	.1
92	2		8	.1
92	2		9	.1
92	2		10	.1
92	2		11	.1
92	2		12	.1
92	3		1	.1
92	3		2	.1
92	3		3	.1
92	3		4	.1
92	3		5	.1
92	3		6	.1
92	3		7	.1
92	3		8	.1
92	3		9	.1
92	3		10	.1
92	3		11	.1
92	3		12	.1
92	4		1	.1
92	4		2	.1
92	4		3	.1
92	4		4	.1
92	4		5	.1
92	4		6	.1
92	4		7	.1
92	4		8	.1
92	4		9	.1
92	4		10	.1
92	4		11	.1
92	4		12	.1
92	5		1	.1
92	5		2	.1
92	5		3	.1
92	5		4	.1
92	5		5	.1
92	5		6	.1
92	5		7	.1
92	5		8	.1
92	5		9	.1
92	5		10	.1
92	5		11	.1
92	5		12	.1
502	1		1	6.3
502	1		2	17.4
502	1		3	13.3
502	1		4	7.7
502	1		5	7.5
502	1		6	6.6
502	1		7	6.6
502	1		8	20
502	1		9	27.8
502	1		10	0
502	1		11	0
502	1		12	0.5
502	2		1	6.3
502	2		2	17.4
502	2		3	13.3
502	2		4	7.7
502	2		5	7.5
502	2		6	6.6
502	2		7	6.6
502	2		8	20
502	2		9	27.8
502	2		10	0
502	2		11	0
502	2		12	0.5
502	3		1	6.3
502	3		2	17.4
502	3		3	13.3
502	3		4	7.7
502	3		5	7.5
502	3		6	6.6
502	3		7	6.6
502	3		8	20
502	3		9	27.8
502	3		10	0
502	3		11	0
502	3		12	0.5
502	4		1	3.6
502	4		2	11.5
502	4		3	8.7
502	4		4	7.7
502	4		5	7.5
502	4		6	6.6
502	4		7	6.6
502	4		8	20
502	4		9	0.1
502	4		10	0
502	4		11	0
502	4		12	0.4
502	5		1	0.7
502	5		2	5.5
502	5		3	4.1
502	5		4	2.6
502	5		5	2.4
502	5		6	2.5
502	5		7	0.4
502	5		8	0
502	5		9	0.1
502	5		10	0
502	5		11	0
502	5		12	0.4
503	1		1	6.3
503	1		2	17.4
503	1		3	13.3
503	1		4	7.7
503	1		5	7.5
503	1		6	6.6
503	1		7	6.6
503	1		8	20
503	1		9	27.8
503	1		10	0
503	1		11	0
503	1		12	0.5
503	2		1 	6.3
503	2		2	17.4
503	2		3	13.3
503	2		4	7.7
503	2		5	7.5
503	2		6	6.6
503	2		7	6.6
503	2		8	20
503	2		9	27.8
503	2		10	0
503	2		11	0
503	2		12	0.5
503	3		1	6.3
503	3		2	17.4
503	3		3	13.3
503	3		4	7.7
503	3		5	7.5
503	3		6	6.6
503	3		7	6.6
503	3		8	20
503	3		9	27.8
503	3		10	0
503	3		11	0
503	3		12	0.5
503	4		1	3.6
503	4		2	11.5
503	4		3	8.7
503	4		4	7.7
503	4		5	7.5
503	4		6	6.6
503	4		7	6.6
503	4		8	20
503	4		9	0.1
503	4		10	0
503	4		11	0
503	4		12	0.4
503	5		1	0.7
503	5		2	5.5
503	5		3	4.1
503	5		4	2.6
503	5		5	2.4
503	5		6	2.5
503	5		7	0.4
503	5		8	0
503	5		9	0.1
503	5		10	0
503	5		11	0
503	5		12	0.4
