stream_elev
DSA      flow       depth
58          0           0
58       5000         1.6
58      10000         4.3
58      70737        22.1
58     141474        34.0
58    1000000        45.0
10          0           0
10       3700         1.0
10      10000         4.3
10     100000        23.2
10     171000        29.0
10    1000000        40.0
15          0         0.0
15      10000         8.0
15      30000        17.2
15      50000        24.7
15      90000        36.9
15    1000000        45.0
69          0           0
69       1000         2.1
69      28947        11.6
69      43421        14.8
69      57895        17.5
69    1000000        25.0
70          0         0.0
70        350         2.0
70       1000         2.6
70      21690        10.9
70      43380        15.0
70    1000000        25.0

