!Average past five SJR 60-20-20 water year types
!Joint model
!Extended 6/27/05 from 1998 to 2003 by C.Quan-DWR.
wytypeSJRave5
wateryear      index
1922           2.00
1923           2.00
1924           3.00
1925           3.00
1926           3.00
1927           3.20
1928           3.40
1929           3.40
1930           3.80
1931           4.00
1932           4.00
1933           4.20
1934           4.20
1935           3.60
1936           3.00
1937           2.80
1938           2.20
1939           2.00
1940           2.00
1941           1.80
1942           1.80
1943           1.80
1944           1.60
1945           1.60
1946           1.80
1947           2.40
1948           2.80
1949           2.80
1950           3.00
1951           3.00
1952           2.40
1953           2.40
1954           2.40
1955           2.60
1956           2.40
1957           2.80
1958           2.40
1959           2.60
1960           2.80
1961           3.60
1962           3.60
1963           3.80
1964           3.80
1965           3.00
1966           2.60
1967           2.20
1968           2.60
1969           2.00
1970           2.20
1971           2.20
1972           2.80
1973           2.40
1974           2.40
1975           2.20
1976           2.60
1977           2.80
1978           2.60
1979           2.80
1980           2.80
1981           2.60
1982           1.80
1983           1.80
1984           1.80
1985           2.40
1986           1.80
1987           2.60
1988           3.40
1989           4.00
1990           4.20
1991           5.00
1992           5.00
1993           4.20
1994           4.20
1995	       3.40
1996	       2.60
1997	       1.80
1998	       1.80
1999	       1.20
2000	       1.40
2001	       2.00
2002	       2.60
2003	       3.00
