Delivery
Delivery
Delivery
Delivery
Arc,Demand,Units,Description
D910,WRESL,CFS,KINGS
D920,WRESL,CFS,Fifth Ave
D930,WRESL,CFS,Deer Cr.
D933,WRESL,CFS,Poso Cr.
D935,WRESL,CFS,Shafter-Wasco
D950,WRESL,CFS,Arvin-Edison
L910,WRESL,CFS,KINGS
L920,WRESL,CFS,Fifth Ave
L930,WRESL,CFS,Deer Cr.
L933,WRESL,CFS,Polo Cr.
L935,WRESL,CFS,Shafter-Wasco
L950,WRESL,CFS,Arvin-Edison
D931A,WRESL,CFS,TVC diversion to FK Tule-EQ  contractors
D932,WRESL,CFS,Total diversion to FK Tule-EQ contractors
D936,WRESL,CFS,SW Canal diversion to EQ-Kern contractors
D937,WRESL,CFS,Total diversion to Fk EQ-Kern contractors
D931_GWR,100,CFS,Groundwater Bank Recharge
D933_GWP,1000,CFS,Groundwater Bank Withdrawl
D936_GWR,100,CFS,Groundwater Bank  Recharge
D938_GWP,1000,CFS,Groundwater Bank Withdrawl
D950_GWR,100,CFS,Groundwater Bank Recharge
D952_GWP,1000,CFS,Groundwater Bank Withdrawl


