Weight
Weight
Weight
Weight
Dvar,Weight,Dvar Units,Description
D910_16B_DR,1.1,CFS,
D920_16B_DR,1.2,CFS,
D932_16B_DR,1.3,CFS,
D933_16B_DR,1.35,CFS,
D937_16B_DR,1.4,CFS,
D950_16B_DR,1.5,CFS,
D910_16B_IL,1.11,CFS,
D920_16B_IL,1.21,CFS,
D932_16B_IL,1.31,CFS,
D933_16B_IL,1.36,CFS,
D937_16B_IL,1.41,CFS,
D950_16B_IL,1.51,CFS,
D910_SD,1.005,CFS,DRAWBACK FROM MWD STORAGE
D920_SD,1.004,CFS,DRAWBACK FROM MWD STORAGE
D932_SD,1.003,CFS,DRAWBACK FROM MWD STORAGE
D933_SD,1.0025,CFS,
D937_SD,1.002,CFS,DRAWBACK FROM MWD STORAGE
D950_SD,1.001,CFS,DRAWBACK FROM MWD STORAGE
D910_215,1.01,CFS,215 DIV FRIANT TO KINGS
D920_215,1.02,CFS,215 DIV KINGS TO TULE
D932_215,1.03,CFS,215 DIV TULE TO EQ
D933_215,1.04,CFS,
D937_215,1.05,CFS,215 DIV EQ TO KERN
D950_215,1.06,CFS,215 DIV KERN TO ARVIN
D910_C2,2.1,CFS,C2 DIV FRIANT TO KINGS
D920_C2,2.2,CFS,C2 DIV KINGS TO TULE
D932_C2,2.3,CFS,C2 DIV TULE TO EQ
D933_C2,2.35,CFS,
D937_C2,2.4,CFS,C2 DIV EQ TO KERN
D950_C2,2.5,CFS,C2 DIV KERN TO ARVIN
D910_C1,3.1,CFS,C1 DIV FRIANT TO KINGS
D920_C1,3.2,CFS,C1 DIV KINGS TO TULE
D932_C1,3.3,CFS,C1 DIV TULE TO EQ
D933_C1,3.35,CFS,
D937_C1,3.4,CFS,C1 DIV EQ TO KERN
D950_C1,3.5,CFS,C1 DIV KERN TO ARVIN
L910,4.5,CFS,LOSS FRIANT TO KINGS
L920,4.4,CFS,LOSS KINGS TO TULE
L930,4.3,CFS,LOSS TULE TO EQ
L933,4.25,CFS,
L935,4.2,CFS,LOSS EQ TO KERN
L950,4.1,CFS,LOSS KERN TO ARVIN


