Weight
Weight
Weight
Weight
Dvar,Weight,Dvar Units,Description
F17,-50000000,CFS,flex bound
FIO,-50000000,CFS,flex bound
IIO,-50000000,CFS,flex bound
S17_1,2000000,TAF,TF dead pool
S17_2,5002.1,TAF,TF storage pool
s17_3,-10000000,TAF,TF flood pool
S18level2,1,TAF,Millerton storage priority level
S18level3,1,TAF,TF power bypass priority
S18level4,1,TAF,TF storage priority
S17level2,1,TAF,TF storage level
D18B_SWP,0.12,CFS,SWP spill from USJRS
C18_SWP,0.11,CFS,SWP spill from USJRS
C18_CVP,0.1,CFS,CVP spill from USJRS
D18B_CVP,0.09,CFS,CVP spill from USJRS
C16_TFB,298,CFS,TF Bypass


