! Suisun Marsh EC (mmhos/cm) standard at Chipps (D1485)
! wyt=51 for Ciritical years where projects are taking deficiencies (see wytypeDefic.table) (D-1485)
salinity_std_chs                   
month		wyt       ECstandard1     beginday1   endday1     ECstandard2     beginday2   endday2
1       1    			12.5            1           31          12.5            0           0
2       1    			12.5            1           30          12.5            0           0
3       1    			12.5            1           31          12.5            0           0
4       1    			12.5            1           31          12.5            0           0
5       1    			12.5            1           28          12.5            0           0
6       1    			12.5            1           31          12.5            0           0
7       1    			12.5            1           30          12.5            0           0
8       1    			12.5            1           31          12.5            0           0
1       2    			12.5            1           31          12.5            0           0
2       2    			12.5            1           30          12.5            0           0
3       2    			12.5            1           31          12.5            0           0
4       2    			12.5            1           31          12.5            0           0
5       2    			12.5            1           28          12.5            0           0
6       2    			12.5            1           31          12.5            0           0
7       2    			12.5            1           30          12.5            0           0
8       2    			12.5            1           31          12.5            0           0
1       3    			12.5            1           31          12.5            0           0
2       3    			12.5            1           30          12.5            0           0
3       3    			12.5            1           31          12.5            0           0
4       3    			12.5            1           31          12.5            0           0
5       3    			12.5            1           28          12.5            0           0
6       3    			12.5            1           31          12.5            0           0
7       3    			12.5            1           30          12.5            0           0
8       3    			12.5            1           31          12.5            0           0
1       4    			12.5            1           31          12.5            0           0
2       4    			12.5            1           30          12.5            0           0
3       4    			12.5            1           31          12.5            0           0
4       4    			12.5            1           31          12.5            0           0
5       4    			12.5            1           28          12.5            0           0
6       4    			12.5            1           31          12.5            0           0
7       4    			12.5            1           30          12.5            0           0
8       4    			12.5            1           31          12.5            0           0
1       5    			12.5            1           31          12.5            0           0
2       5    			12.5            1           30          12.5            0           0
3       5    			12.5            1           31          12.5            0           0
4       5    			12.5            1           31          12.5            0           0
5       5    			12.5            1           28          12.5            0           0
6       5    			12.5            1           31          12.5            0           0
7       5    			12.5            1           30          12.5            0           0
8       5    			12.5            1           31          12.5            0           0
1       51    			15.6            1           31          12.5            0           0
2       51    			15.6            1           30          12.5            0           0
3       51    			15.6            1           31          12.5            0           0
4       51    			15.6            1           31          12.5            0           0
5       51    			15.6            1           28          12.5            0           0
6       51    			15.6            1           31          12.5            0           0
7       51    			15.6            1           30          12.5            0           0
8       51    			15.6            1           31          12.5            0           0
