! source spreadsheet: FIXED_BST_SWP_SOD_2011DRR_090911_Exist.xls           
swp_3pattern_SLRule           
month     percent   demand    b4lowpoint
8    30   355.5     2335.1
9    30   580.3     1979.6
10   30   731.3     1399.2
11   30   667.9     667.9
12   30   526.1     526.1
8    50   268.3     2064.9
9    50   481.1     1796.6
10   50   643.4     1315.5
11   50   672.1     672.1
12   50   576.6     576.6
8    100  315.1     1587.0
9    100  389.8     1271.9
10   100  430.9     882.1
11   100  451.3     451.3
12   100  355.2     355.2
