! Annual Cap (TAF) on SWP Wheeling for CVP
wheelCap								
year	cap							
1922	99999							
1923	99999							
1924	99999							
1925	99999							
1926	99999							
1927	99999							
1928	99999							
1929	99999							
1930	99999							
1931	99999							
1932	99999							
1933	99999							
1934	99999							
1935	99999
1936	99999
1937	99999
1938	99999
1939	99999
1940	99999
1941	99999
1942	99999
1943	99999
1944	99999
1945	99999
1946	99999
1947	99999
1948	99999
1949	99999
1950	99999
1951	99999
1952	99999
1953	99999
1954	99999
1955	99999
1956	99999
1957	99999
1958	99999
1959	99999
1960	99999
1961	99999
1962	99999
1963	99999
1964	99999
1965	99999
1966	99999
1967	99999
1968	99999
1969	99999
1970	99999
1971	99999
1972	99999
1973	99999
1974	99999
1975	99999
1976	99999
1977	99999
1978	99999
1979	99999
1980	99999
1981	99999
1982	99999
1983	99999
1984	99999
1985	99999
1986	99999
1987	99999
1988	99999
1989	99999
1990	99999
1991	99999
1992	99999
1993	99999
1994	99999
1995	99999
1996	99999
1997	99999
1998	99999
1999	99999
2000	99999
2001	99999
2002	99999
2003	99999
