!Extension of data from 1994 to 2003 by C.Quan-DWR on 6/17/05.
eightriver	
wateryear	pmi
1921	2896
1922	1163
1923	2032
1924	489
1925	925
1926	671
1927	2006
1928	1096
1929	635
1930	2371
1931	389
1932	1685
1933	420
1934	1041
1935	796
1936	510
1937	450
1938	4815
1939	797
1940	675
1941	3406
1942	3577
1943	1827
1944	548
1945	1505
1946	4603
1947	1064
1948	503
1949	661
1950	435
1951	5948
1952	3363
1953	1919
1954	799
1955	1355
1956	9146
1957	607
1958	1624
1959	582
1960	474
1961	1360
1962	1189
1963	1896
1964	850
1965	8655
1966	1044
1967	2981
1968	851
1969	1765
1970	3299
1971	3258
1972	1191
1973	1835
1974	3685
1975	858
1976	763
1977	379
1978	1897
1979	535
1980	1243
1981	917
1982	5581
1983	3693		
1984	6716		
1985	1196		
1986	1254		
1987	529		
1988	1699		
1989	720		
1990	446		
1991	336		
1992	468		
1993	1247		
1994	777		
1995	1038		
1996	1716		
1997	6836		
1998	1183		
1999	1884
2000	654
2001	667
2002	2491
2003	3242
