res_level
res_num level   month   target
1     4    1    1850
1     4    2    1850
1     4    3    1850
1     4    4    1900
1     4    5    2000
1     4    6    2100
1     4    7    2300
1     4    8    2420
1     4    9    2447
1     4    10   2270
1     4    11   2150
1     4    12   1975
3     2    1    217
3     2    2    206
3     2    3    206
3     2    4    206
3     2    5    206
3     2    6    217
3     2    7    240
3     2    8    240
3     2    9    240
3     2    10   240
3     2    11   240
3     2    12   235
3     3    1    217
3     3    2    206
3     3    3    206
3     3    4    206
3     3    5    206
3     3    6    217
3     3    7    240
3     3    8    240
3     3    9    240
3     3    10   240
3     3    11   240
3     3    12   235
3     4    1    217
3     4    2    206
3     4    3    206
3     4    4    206
3     4    5    206
3     4    6    217
3     4    7    240
3     4    8    240
3     4    9    240
3     4    10   240
3     4    11   240
3     4    12   235
