! Author Unknown
! Date Unknown
! SJRindex is the water year hydrologic classification for the San Joaquin Valley. See WQCP 1995.
! Similar to values found in wytypes.table (common folder) with exception of included 1919 and 1920 values.
! Extended 10/31/03 from 1994 through 1998 by MZE using data obtained from CDEC
! Extended 6/27/05 from 1998 to 2003 by C.Quan-DWR from data extracted from CDEC.
! Extended 6/27/2013 from 2010 to 2012 by K.Kao-DWR from data extracted from CDEC.
! 1=W, 2=AN, 3=BN, 4=D, 5=C
! Units None
wytypeSJR
wateryear      index
1919	       4
1920	       4
1921           2
1922           1
1923           2
1924           5
1925           3
1926           4
1927           2
1928           3
1929           5
1930           5
1931           5
1932           2
1933           4
1934           5
1935           2
1936           2
1937           1
1938           1
1939           4
1940           2
1941           1
1942           1
1943           1
1944           3
1945           2
1946           2
1947           4
1948           3
1949           3
1950           3
1951           2
1952           1
1953           3
1954           3
1955           4
1956           1
1957           3
1958           1
1959           4
1960           5
1961           5
1962           3
1963           2
1964           4
1965           1
1966           3
1967           1
1968           4
1969           1
1970           2
1971           3
1972           4
1973           2
1974           1
1975           1
1976           5
1977           5
1978           1
1979           2
1980           1
1981           4
1982           1
1983           1
1984           2
1985           4
1986           1
1987           5
1988           5
1989           5
1990           5
1991           5
1992           5
1993           1
1994           5
1995           1
1996           1
1997           1
1998           1
1999	       2
2000	       2
2001	       4
2002	       4
2003	       3
2004           4
2005           1
2006           1
2007	       5
2008	       5
2009	       3
2010           2
2011           1
2012           4
