!Agricultural Reuse by demand unit for rice lands
!Currently single reuse factor for all demand units
!Month 1 = October
AgReuse
DU	Month	Rice
1	1	0.23
1	2	0.46
1	3	0.73
1	4	0.73
1	5	0.00
1	6	0.00
1	7	0.00
1	8	0.33
1	9	0.19
1	10	0.24
1	11	0.32
1	12	2.43




























































































































































































































