! Surface runoff fractions for each WBA		
WatershedArea		
watershed	fraction
1	0.4910	!SR_02_CWD003
2	0.0875	!SR_02_KSWCK
3	0.0638	!SR_02_SAC257
4	0.3577	!SR_02_SAC271
5	0.1248	!SR_03_COW003
6	0.0259	!SR_03_KSWCK
7	0.4373	!SR_03_SAC265
8	0.4121	!SR_03_SAC277
9	0.2526	!SR_04_SAC207
10	0.7474	!SR_04_SAC217
11	0.4822	!SR_05_SAC196
12	0.0981	!SR_05_SAC201
13	0.4196	!SR_05_SAC217
14	0.2523	!SR_06_CBD049
15	0.7477	!SR_06_SAC185
16	0.9107	!SR_07N_CBD049
17	0.0893	!SR_07N_SAC185
18	0.6049	!SR_07S_CBD028
19	0.3646	!SR_07S_CBD038
20	0.0305	!SR_07S_YBP034
21	0.8818	!SR_08N_CBD049
22	0.0992	!SR_08N_SAC185
23	0.2827	!SR_08S_CBD028
24	0.3409	!SR_08S_CBD038
25	0.3715	!SR_08S_RFS8S
26	0.0049	!SR_08S_SAC146
27	0.7736	!SR_09_BSL001
28	0.0792	!SR_09_BTC017
29	0.0776	!SR_09_SAC141
30	0.0695	!SR_09_SAC185
31	0.5142	!SR_10_BSL001
32	0.3774	!SR_10_BTC017
33	0.1084	!SR_10_SAC196
34	0.3936	!SR_11_BSL001
35	0.1822	!SR_11_BTC017
36	0.3233	!SR_11_DWRPS1
37	0.1008	!SR_11_FTR059
38	1.0000	!SR_12_HON004
39	1.0000	!SR_13_RFS13
40	0.2295	!SR_14_HON004
41	0.1517	!SR_14_JCK002
42	0.6187	!SR_14_YUB011
43	0.4772	!SR_15N_FTR029
44	0.4224	!SR_15N_JCK002
45	1.0000	!SR_15S_FTR012
46	1.0000	!SR_16_DWRPS1
47	1.0000	!SR_17N_BSL001
48	1.0000	!SR_17S_SSL001
49	1.0000	!SR_18_RFS18
50	1.0000	!SR_19_RD1500
51	0.1398	!SR_20_CCH017
52	0.2436	!SR_20_CCH032
53	0.0471	!SR_20_PTH021
54	0.0230	!SR_20_PTH024
55	0.5466	!SR_20_YBP023
56	1.0000	!SR_21_YBP023
57	0.7175	!SR_22_SAC066
58	0.3513	!SR_23_ABN000
59	0.1552	!SR_23_BRR004
60	0.2317	!SR_23_CRC002
61	0.1583	!SR_23_CCK007
62	0.0841	!SR_24_ABN000
63	0.2014	!SR_24_ABN010
64	0.0695	!SR_24_BRR004
65	0.2782	!SR_24_CCK022
66	0.1407	!SR_24_CRC002
67	0.1744	!SR_24_EMD007
68	0.0379	!SR_24_CCK007
69	0.9157	!SR_25_CSL005
70	0.0154	!SR_25_PTH021
71	0.0690	!SR_25_PTH024
72	0.1643	!SR_26N_AMR004
73	0.1005	!SR_26N_CRC002
74	0.3654	!SR_26N_EMD001
75	0.3298	!SR_26N_EMD007
76	0.0400	!SR_26N_NTOMA
77	0.0797	!SR_26S_AMR007
78	0.1546	!SR_26S_MOK014
79	0.1351	!SR_26S_NTOMA
80	0.6305	!SR_26S_SAC048
81	0.2825	!SR_22_CRC002
82	0.0190	!SR_08N_SAC154
83	0.1005	!SR_15N_HON004
84	0.1034	!SR_23_BRR011
85	0.0138	!SR_24_BRR011

