! Author A Draper
! Date 06/19/11
! 1=W, 2=AN, 3=BN, 4=D, 5=C
! Units TAF
! Critically Dry Equal to or Less than 900
! Dry 901 to 1,460
! Below Normal 1,461 to 2,190
! Above Normal 2,191 to 3,240
! Wet Greater than 3,240
!
! 1921-1994 from DWR files
! 1995-2009 as 8-river index
wytypeYubaBear
wateryear      Runoff	index
1921	3169	2
1922	2972	2
1923	2074	3
1924	602	5
1925	2123	3
1926	1608	3
1927	3540	1
1928	2436	2
1929	1011	4
1930	1817	3
1931	640	5
1932	2114	3
1933	1079	4
1934	988	4
1935	2242	2
1936	2589	2
1937	1860	3
1938	4035	1
1939	907	4
1940	2860	2
1941	3137	2
1942	3405	1
1943	3133	2
1944	1397	4
1945	2113	3
1946	2398	2
1947	1363	4
1948	2009	3
1949	1486	3
1950	2218	2
1951	3540	1
1952	4119	1
1953	2554	2
1954	1918	3
1955	1286	4
1956	3963	1
1957	1958	3
1958	3529	1
1959	1238	4
1960	1696	3
1961	1126	4
1962	1923	3
1963	3273	1
1964	1480	3
1965	3883	1
1966	1424	4
1967	3300	1
1968	1573	3
1969	3669	1
1970	2915	2
1971	2857	2
1972	1716	3
1973	2660	2
1974	3984	1
1975	2371	2
1976	804	5
1977	370	5
1978	2986	2
1979	1727	3
1980	3186	2
1981	1098	4
1982	4925	1
1983	4706	1
1984	3164	2
1985	1319	4
1986	3470	1
1987	874	5
1988	918	4
1989	2226	2
1990	1235	4
1991	1177	4
1992	911	4
1993	2903	2
1994	875	5
1995	1000	1
1996	1000	1
1997	1000	1
1998	1000	1
1999	1000	2
2000	1000	2
2001	1000	4
2002	1000	4
2003	1000	3
2004	1000	4
2005	1000	1
2006	1000	1
2007	1000	5
2008	1000	5
2009	1000	3
